,D1A_FAIXAID,D2_SEXO,D3_ESCOLA,OCUPA,Q1,Q12P1_B,Q12P2_B,P18,Q502,Q405,D10,majoritarian
162,4,2,6,4,3,5,1,2,4,4,3,10
163,5,1,6,3,2,9,2,4,4,4,5,12
164,3,1,6,3,1,3,1,4,5,5,3,14
165,3,1,6,3,3,3,99,5,5,2,5,12
166,2,1,6,4,4,99,99,2,5,2,97,9
167,4,1,8,1,1,5,1,1,1,1,3,3
168,4,2,8,1,3,5,1,5,1,1,5,7
169,7,1,3,4,3,5,1,4,2,2,3,8
170,6,1,3,4,3,9,2,1,5,2,3,8
171,5,1,5,1,1,3,50,2,5,5,3,12
172,6,1,4,2,3,99,99,5,1,1,3,7
173,3,2,6,3,3,2,2,5,5,5,5,15
174,6,2,3,3,4,3,2,5,5,1,3,11
175,4,2,7,3,3,99,99,5,2,2,3,9
176,3,2,6,1,4,3,99,1,4,5,3,10
177,5,2,8,1,2,3,2,5,1,4,3,10
178,2,2,6,3,3,5,1,4,1,2,3,7
179,6,2,0,4,2,5,1,4,2,1,3,7
180,7,1,0,4,2,99,99,5,1,1,3,7
181,4,1,1,4,1,9,2,5,4,1,3,10
182,3,2,1,1,3,5,1,1,1,5,5,7
183,4,2,2,3,3,5,99,5,1,1,97,7
184,3,1,3,3,4,5,1,1,5,5,3,11
185,4,1,6,1,3,9,2,5,4,5,97,14
186,4,2,3,4,3,5,1,5,1,1,3,7
187,4,1,3,3,3,5,1,5,1,1,3,7
188,5,1,2,4,4,5,99,5,1,1,3,7
189,3,2,5,3,4,5,1,5,1,4,5,10
190,3,2,6,3,3,5,1,5,4,1,3,10
191,5,1,0,4,2,5,1,4,2,5,3,11
192,2,2,7,4,4,5,1,5,5,1,3,11
193,6,1,1,4,2,5,1,1,1,1,3,3
194,2,2,4,2,3,9,2,5,5,2,3,12
195,3,1,6,2,2,9,2,4,5,1,3,10
196,2,1,4,4,3,5,1,5,1,1,3,7
197,2,1,6,3,2,9,2,5,5,5,5,15
198,4,2,0,4,4,5,1,5,4,4,3,13
199,4,1,2,3,3,50,50,1,5,1,3,7
200,4,1,1,3,2,5,1,5,5,1,3,11
201,5,1,8,3,3,97,97,5,1,5,3,11
202,4,1,6,3,2,3,1,5,1,5,5,11
203,7,2,5,4,2,12,1,4,4,4,3,12
204,6,2,6,3,3,5,1,1,1,1,5,3
205,7,2,4,4,4,50,60,5,2,1,3,8
206,5,1,6,4,1,5,1,1,1,5,4,7
207,4,1,7,1,1,9,2,5,5,5,5,15
208,3,1,3,1,4,5,1,4,1,2,97,7
209,4,2,8,1,1,60,50,1,1,1,3,3
210,7,1,6,3,4,5,1,5,5,1,3,11
211,6,2,2,4,4,5,1,5,2,4,3,11
212,4,2,6,4,4,99,1,5,5,4,3,14
213,6,1,6,3,3,1,50,5,2,5,3,12
214,3,1,6,1,1,5,1,5,5,5,3,15
215,2,2,6,4,3,5,1,2,2,4,3,8
216,3,1,6,4,3,3,2,5,2,5,3,12
217,6,1,4,1,1,5,1,2,2,5,3,9
218,3,2,5,1,3,5,1,5,5,1,3,11
219,5,1,8,1,2,8,1,5,1,5,3,11
220,4,2,8,1,1,5,1,5,2,1,2,8
221,5,2,7,3,4,9,2,1,2,4,97,7
222,2,1,5,1,4,5,1,5,5,5,2,15
223,3,2,6,2,4,9,2,2,5,1,97,8
224,3,1,3,3,4,5,1,1,4,2,5,7
225,5,2,3,4,3,5,1,5,5,2,3,12
226,3,2,6,3,3,6,1,3,4,4,5,11
227,6,2,5,3,3,5,1,5,4,3,5,12
228,4,1,6,1,2,3,1,5,5,5,3,15
229,4,2,8,1,3,50,50,3,3,5,5,11
230,2,1,7,4,2,12,1,5,5,5,5,15
231,3,2,6,3,3,99,1,5,5,5,5,15
232,5,1,3,1,1,5,1,1,1,2,3,4
233,4,1,6,3,1,5,1,5,5,5,5,15
234,2,2,6,1,3,9,2,2,3,5,5,10
235,2,1,7,4,3,9,2,2,5,2,5,9
236,2,2,5,4,3,5,1,5,4,5,5,14
237,5,2,3,4,3,97,97,5,1,1,3,7
238,3,1,6,3,1,99,2,4,2,4,3,10
